Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros),file_path
hp,elitebook 840,notebook,"14.0""",full hd 1920x1080,intel core i5 7200u 2.5ghz,4gb,256gb ssd,intel hd graphics 620,windows,10,1.48kg,"1590,00",hp.jpeg
hp,elitebook 840,ultrabook,"14.0""",full hd 1920x1080,intel core i7 6500u 2.5ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.54kg,"1887,21",hp.jpeg
hp,probook 430,notebook,"13.3""",1366x768,intel core i3 7100u 2.4ghz,4gb,500gb hdd,intel hd graphics 620,windows,10,1.49kg,"800,00",hp.jpeg
toshiba,portege a30-c-1cz,notebook,"13.3""",1366x768,intel core i5 6200u 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.5kg,"1210,00",toshiba.webp
hp,probook 450,notebook,"15.6""",1366x768,intel core i3 7100u 2.4ghz,4gb,256gb ssd,intel hd graphics 620,windows,10,2.04kg,"769,99",hp.jpeg
lenovo,thinkpad p70,notebook,"17.3""",ips panel 4k ultra hd 3840x2160,intel core i7 6820hq 2.7ghz,16gb,512gb ssd,nvidia quadro 3000m,windows,7,2.4kg,"2968,00",lenovo.webp
toshiba,tecra z40-c-12z,notebook,"14.0""",ips panel full hd 1920x1080,intel core i5 6200u 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.47kg,"1490,00",toshiba.webp
hp,elitebook 1040,notebook,"14.0""",full hd 1920x1080,intel core i7 6500u 2.5ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.43kg,"2229,00",hp.jpeg
dell,inspiron 5568,2 in 1 convertible,"15.6""",ips panel full hd / touchscreen 1920x1080,intel core i3 6100u 2.3ghz,4gb,1tb hdd,intel hd graphics 520,windows,10,2.08kg,"795,99",dell.jpeg
toshiba,portégé z30-c-16k,ultrabook,"13.3""",full hd 1920x1080,intel core i5 6200u 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.2kg,"1590,00",toshiba.webp
hp,spectre 13-v100nv,notebook,"13.3""",ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.11kg,"1149,00",hp.jpeg
hp,probook 440,notebook,"14.0""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,nvidia geforce 930mx,windows,10,1.64kg,"1185,43",hp.jpeg
dell,latitude e5570,notebook,"15.6""",full hd 1920x1080,intel core i5 6300u 2.4ghz,8gb,500gb hdd,intel hd graphics 520,windows,10,2.09kg,"1046,44",dell.jpeg
hp,elitebook 820,ultrabook,"12.5""",1366x768,intel core i5 7200u 2.5ghz,4gb,256gb ssd,intel hd graphics 620,windows,10,1.26kg,"1559,00",hp.jpeg
hp,probook 650,notebook,"14.0""",1366x768,intel core i5 7200u 2.5ghz,4gb,500gb hdd,intel hd graphics 620,windows,10,2.31kg,"1189,00",hp.jpeg
hp,probook 640,notebook,"14.0""",1366x768,intel core i5 7200u 2.5ghz,4gb,500gb hdd,intel hd graphics 620,windows,10,1.95kg,"1060,00",hp.jpeg
dell,xps 13,ultrabook,"13.3""",quad hd+ / touchscreen 3200x1800,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.29kg,"1624,00",dell.jpeg
hp,probook 470,notebook,"17.3""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,nvidia geforce 930mx,windows,10,2.63kg,"1080,00",hp.jpeg
hp,probook 440,notebook,"14.0""",1366x768,intel core i5 7200u 2.5ghz,4gb,256gb ssd,intel hd graphics 620,windows,10,1.64kg,"973,00",hp.jpeg
acer,aspire 3,notebook,"15.6""",1366x768,amd a9-series 9420 3ghz,6gb,1tb hdd,amd radeon r5,windows,10,2.1kg,"409,00",default.jpg
msi,gl72m 7rdx,gaming,"17.3""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,10,2.7kg,"1191,80",msi.webp
hp,probook 640,notebook,"14.0""",full hd 1920x1080,intel core i5 6200u 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows,7,1.95kg,"1195,00",hp.jpeg
hp,elitebook 850,notebook,"15.6""",full hd 1920x1080,intel core i7 6500u 2.5ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.84kg,"1228,99",hp.jpeg
hp,elitebook 820,ultrabook,"12.5""",full hd 1920x1080,intel core i7 6500u 2.5ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.26kg,"1349,00",hp.jpeg
hp,probook 450,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,4gb,500gb hdd,intel hd graphics 620,windows,10,2.04kg,"742,00",hp.jpeg
toshiba,tecra z40-c-136,ultrabook,"14.0""",ips panel full hd 1920x1080,intel core i7 6600u 2.6ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.47kg,"1725,00",toshiba.webp
dell,latitude e5570,notebook,"15.6""",full hd 1920x1080,intel core i5 6300u 2.4ghz,8gb,256gb ssd,intel hd graphics 520,windows,7,2.09kg,"1062,95",dell.jpeg
hp,probook 440,notebook,"14.0""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.64kg,"1010,51",hp.jpeg
lenovo,yoga 500-15isk,2 in 1 convertible,"15.6""",ips panel full hd / touchscreen 1920x1080,intel core i7 6500u 2.5ghz,4gb,256gb ssd,intel hd graphics 520,windows,10,1.8kg,"847,00",lenovo.webp
vero,v142 (x5-z8350/2gb/32gb/w10),notebook,"14.0""",1366x768,intel atom x5-z8350 1.44ghz,2gb,32gb flash storage,intel hd graphics 400,windows,10,1.45kg,"210,80",default.jpg
toshiba,tecra a50-c-218,notebook,"15.6""",ips panel full hd 1920x1080,intel core i7 6500u 2.5ghz,16gb,256gb ssd,nvidia geforce 930m,windows,10,2.4kg,"1425,00",toshiba.webp
lenovo,thinkpad l560,notebook,"15.6""",full hd 1920x1080,intel core i5 6200u 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,2.3kg,"1049,60",lenovo.webp
hp,elitebook 840,notebook,"14.0""",full hd 1920x1080,intel core i5 6200u 2.3ghz,4gb,500gb hdd,intel hd graphics 520,windows,10,1.54kg,"1000,00",hp.jpeg
hp,elitebook 850,notebook,"15.6""",full hd 1920x1080,intel core i5 6300u 2.4ghz,8gb,256gb ssd +  500gb hdd,intel hd graphics 520,windows,10,1.84kg,"2103,34",hp.jpeg
hp,elitebook 1040,notebook,"14.0""",full hd 1920x1080,intel core i5 6200u 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows,7,1.43kg,"1469,00",hp.jpeg
msi,gt72s dominator,gaming,"17.3""",ips panel full hd 1920x1080,intel core i7 6820hk 2.7ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 980m,windows,10,3.78kg,"1545,64",msi.webp
lenovo,ideapad y900-17isk,gaming,"17.3""",ips panel full hd 1920x1080,intel core i7 6700hq 2.6ghz,16gb,128gb ssd +  1tb hdd,nvidia geforce gtx 980m,windows,10,4.6kg,"2289,99",lenovo.webp
asus,chromebook c202sa,netbook,"11.6""",1366x768,intel celeron dual core n3060 1.6ghz,4gb,16gb flash storage,intel hd graphics 400,chrome os,,1.2kg,"287,90",default.jpg
lenovo,thinkpad x1,notebook,"14.0""",ips panel 2560x1440,intel core i7 6600u 2.6ghz,16gb,256gb ssd,intel hd graphics 520,windows,7,1.1kg,"2620,00",lenovo.webp
hp,noteb pav,notebook,"15.6""",ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,1tb hdd,nvidia geforce 940mx,windows,10,1.91kg,"979,00",hp.jpeg
dell,inspiron 5578,2 in 1 convertible,"15.6""",ips panel full hd / touchscreen 1920x1080,intel core i5 7200u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,2.3kg,"1094,00",dell.jpeg
hp,probook 450,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,4gb,256gb ssd,intel hd graphics 620,windows,10,2.04kg,"979,00",hp.jpeg
dell,xps 13,ultrabook,"13.3""",quad hd+ / touchscreen 3200x1800,intel core i7 7500u 2.7ghz,16gb,1tb ssd,intel hd graphics 620,windows,10,1.2kg,"2254,00",dell.jpeg
hp,probook 650,notebook,"15.6""",1366x768,intel core i3 6100u 2.3ghz,4gb,500gb hdd,intel hd graphics 520,windows,10,2.31kg,"705,15",hp.jpeg
hp,250 g5,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,4gb,500gb hdd,intel hd graphics 620,no os,,1.96kg,"499,00",hp.jpeg
acer,aspire es1-523,notebook,"15.6""",1366x768,amd a8-series 7410 2.2ghz,8gb,1tb hdd,amd radeon r5,windows,10,2.4kg,"449,00",default.jpg
dell,inspiron 7378,2 in 1 convertible,"13.3""",ips panel full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,12gb,256gb ssd,intel hd graphics 620,windows,10,1.6kg,"1299,00",dell.jpeg
msi,gt62vr 6rd,gaming,"15.6""",full hd 1920x1080,intel core i7 6700hq 2.6ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,10,2.94kg,"1819,00",msi.webp
hp,probook 450,notebook,"15.6""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,2.04kg,"1070,00",hp.jpeg
asus,rog g752vl-gc088d,gaming,"17.3""",ips panel full hd 1920x1080,intel core i7 6700hq 2.6ghz,16gb,1tb hdd,nvidia geforce gtx 965m,no os,,4kgs,"998,00",default.jpg
dell,inspiron 3567,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,4gb,1tb hdd,intel hd graphics,windows,10,2.25kg,"559,00",dell.jpeg
dell,inspiron 5567,notebook,"15.6""",full hd 1920x1080,intel core i7 7500u 2.7ghz,16gb,2tb hdd,amd radeon r7 m445,windows,10,2.32kg,"989,99",dell.jpeg
msi,gs63vr 6rf,gaming,"15.6""",full hd 1920x1080,intel core i7 6700hq 2.6ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,10,1.8kg,"1929,00",msi.webp
dell,xps 13,ultrabook,"13.3""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.29kg,"1458,00",dell.jpeg
asus,rog g701vo,gaming,"17.3""",ips panel full hd 1920x1080,intel core i7 6820hk 2.7ghz,64gb,1tb ssd,nvidia geforce gtx 980 ,windows,10,3.58kg,"3975,00",default.jpg
dell,inspiron 5368,2 in 1 convertible,"13.3""",full hd / touchscreen 1920x1080,intel core i7 6500u 2.5ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.62kg,"798,01",dell.jpeg
dell,alienware 15,gaming,"15.6""",4k ultra hd 3840x2160,intel core i7 6700hq 2.6ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 970m,windows,10,3.21kg,"1329,00",dell.jpeg
apple,"macbook 12""",ultrabook,"12.0""",ips panel retina display 2304x1440,intel core m 1.1ghz,8gb,256gb flash storage,intel hd graphics 515,mac os,x,0.920kg,"1300,00",apple.jpeg
dell,latitude 3570,notebook,"15.6""",1366x768,intel core i3 6100u 2.3ghz,4gb,500gb hdd,intel hd graphics 520,windows,10,2.06kg,"481,98",dell.jpeg
hp,probook 650,notebook,"15.6""",1366x768,intel core i5 6200u 2.3ghz,4gb,500gb hdd,intel hd graphics 520,windows,10,2.31kg,"1199,00",hp.jpeg
hp,elitebook 820,ultrabook,"12.5""",full hd 1920x1080,intel core i5 6200u 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows,7,1.26kg,"1199,00",hp.jpeg
hp,probook 430,notebook,"13.3""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.49kg,"1090,00",hp.jpeg
lenovo,thinkpad yoga,ultrabook,"12.5""",ips panel full hd / touchscreen 1920x1080,intel core i7 6500u 2.5ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.3kg,"1713,49",lenovo.webp
lenovo,ideapad 300-17isk,notebook,"17.3""",1600x900,intel core i5 6200u 2.3ghz,8gb,1tb hdd,amd radeon r5 m330,windows,10,3.0kg,"659,00",lenovo.webp
lenovo,ideapad 700-15isk,notebook,"15.6""",ips panel full hd 1920x1080,intel core i5 6300hq 2.3ghz,4gb,1tb hdd,nvidia geforce gtx 950m,windows,10,2.3kg,"977,00",lenovo.webp
msi,gt72vr dominator,gaming,"17.3""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,windows,10,3.78kg,"2499,00",msi.webp
lenovo,v110-15isk (i5-6200u/4gb/500gb/w10),notebook,"15.6""",1366x768,intel core i5 6200u 2.3ghz,4gb,500gb hdd,intel hd graphics 520,windows,10,2.1kg,"540,00",lenovo.webp
hp,probook 650,notebook,"15.6""",full hd 1920x1080,intel core i5 6200u 2.3ghz,4gb,500gb hdd,intel hd graphics 520,windows,7,2.31kg,"940,00",hp.jpeg
lenovo,yoga 900s-12isk,ultrabook,"12.5""",ips panel touchscreen 2560x1440,intel core m 6y75 1.2ghz,8gb,512gb ssd,intel hd graphics 515,windows,10,0.99kg,"1399,00",lenovo.webp
lenovo,ideapad y900-17isk,gaming,"17.3""",ips panel full hd 1920x1080,intel core i7 6820hk 2.7ghz,32gb,512gb ssd +  1tb hybrid,nvidia geforce gtx 980m,windows,10,4.6kg,"3240,00",lenovo.webp
lenovo,yoga book,2 in 1 convertible,"10.1""",ips panel touchscreen 1920x1200,intel atom x5-z8550 1.44ghz,4gb,64gb flash storage,intel hd graphics 400,windows,10,0.69kg,"646,27",lenovo.webp
hp,spectre x360,ultrabook,"13.3""",ips panel 4k ultra hd 3840x2160,intel core i7 7500u 2.7ghz,16gb,512gb ssd,intel hd graphics 620,windows,10,1.3kg,"2049,00",hp.jpeg
dell,vostro 3568,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,2.18kg,"750,00",dell.jpeg
hp,elitebook 840,notebook,"14.0""",full hd 1920x1080,intel core i5 6200u 2.3ghz,4gb,500gb hdd,intel hd graphics 520,windows,7,1.54kg,"1030,99",hp.jpeg
hp,zbook 15u,workstation,"15.6""",full hd 1920x1080,intel core i7 6500u 2.5ghz,8gb,256gb ssd,amd firepro w4190m,windows,7,1.9kg,"1495,00",hp.jpeg
lenovo,thinkpad t460,notebook,"14.0""",full hd 1920x1080,intel core i5 6200u 2.3ghz,8gb,1gb ssd,intel hd graphics 520,windows,7,1.7kg,"1199,00",lenovo.webp
hp,chromebook 13,notebook,"13.3""",quad hd+ 3200x1800,intel pentium dual core 4405y 1.5ghz,4gb,32gb flash storage,intel hd graphics 515,chrome os,,1.29kg,"615,00",hp.jpeg
acer,aspire es1-523,notebook,"15.6""",1366x768,amd a8-series 7410 2.2ghz,4gb,500gb hdd,amd radeon r5,windows,10,2.4kg,"387,00",default.jpg
dell,inspiron 3552,notebook,"15.6""",1366x768,intel pentium quad core n3700 1.6ghz,4gb,500gb hdd,intel hd graphics,linux,,2.2kg,"393,49",dell.jpeg
hp,250 g6,notebook,"15.6""",1366x768,intel core i3 6006u 2ghz,4gb,1tb hdd,intel hd graphics 520,no os,,1.86kg,"345,99",hp.jpeg
asus,rog gl702vm-gc354t,gaming,"17.3""",ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,256gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,10,2.7kg,"1599,00",default.jpg
dell,inspiron 5370,ultrabook,"13.3""",ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,4gb,256gb ssd,amd radeon 530,windows,10,1.4kg,"818,35",dell.jpeg
hp,elitebook 820,netbook,"12.5""",1366x768,intel core i5 6200u 2.3ghz,4gb,128gb ssd,intel hd graphics 520,windows,7,2.4kg,"1599,00",hp.jpeg
acer,aspire f5-573g,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,256gb ssd +  1tb hdd,nvidia geforce gtx 950m,windows,10,2.4kg,"799,00",default.jpg
dell,inspiron 5567,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,8gb,1tb hdd,amd radeon r7 m445,windows,10,2.36kg,"638,80",dell.jpeg
msi,gs70 stealth,gaming,"17.3""",full hd 1920x1080,intel core i7 6700hq 2.6ghz,8gb,256gb ssd,nvidia geforce gtx 965m,windows,10,2.6kg,"1599,00",msi.webp
hp,250 g5,notebook,"15.6""",1366x768,intel pentium quad core n3710 1.6ghz,4gb,1tb hdd,intel hd graphics 405,windows,10,1.96kg,"500,00",hp.jpeg
asus,g752vy-gc162t (i7-6700hq/16gb/1tb,gaming,"17.3""",ips panel full hd 1920x1080,intel core i7 6700hq 2.6ghz,16gb,128gb ssd +  1tb hdd,nvidia geforce gtx 980m,windows,10,4.3kg,"2299,00",default.jpg
dell,latitude e5270,ultrabook,"12.5""",1366x768,intel core i3 6100u 2.3ghz,4gb,500gb hdd,intel hd graphics 520,windows,7,1.5kg,"1135,15",dell.jpeg
dell,latitude e5270,ultrabook,"12.5""",1366x768,intel core i3 6100u 2.3ghz,4gb,128gb ssd,intel hd graphics 520,windows,7,1.5kg,"1166,97",dell.jpeg
acer,chromebook 15,notebook,"15.6""",1366x768,intel celeron dual core 3205u 1.5ghz,4gb,16gb ssd,intel hd graphics,chrome os,,2.20kg,"209,00",default.jpg
hp,zbook 17,workstation,"17.3""",ips panel full hd 1920x1080,intel core i7 6700hq 2.6ghz,8gb,1tb hdd,amd firepro w6150m,windows,7,3.0kg,"2899,00",hp.jpeg
lenovo,legion y520-15ikbn,gaming,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,16gb,512gb ssd,nvidia geforce gtx 1050 ti,windows,10,2.4kg,"1199,00",lenovo.webp
dell,latitude e5270,ultrabook,"12.5""",1366x768,intel core i5 6200u 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows,7,1.5kg,"1413,10",dell.jpeg
msi,ge72 apache,gaming,"17.3""",full hd 1920x1080,intel core i7 6700hq 2.6ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 960m,windows,10,2.9kg,"1511,19",msi.webp
lenovo,yoga 500-15isk,2 in 1 convertible,"15.6""",ips panel full hd / touchscreen 1920x1080,intel core i5 6200u 2.3ghz,4gb,256gb ssd,intel hd graphics 520,windows,10,2.1kg,"867,00",lenovo.webp
hp,15-bw011nv (a6-9220/4gb/1tb/fhd/w10),notebook,"15.6""",full hd 1920x1080,amd a6-series 9220 2.5ghz,4gb,1tb hdd,amd radeon r4,windows,10,2.1kg,"398,00",hp.jpeg
asus,rog gl552vw-cn470t,gaming,"15.6""",ips panel full hd 1920x1080,intel core i7 6700hq 2.6ghz,16gb,128gb ssd +  1tb hdd,nvidia geforce gtx 960m,windows,10,2.59kg,"1339,00",default.jpg
hp,elitebook 1030,notebook,"13.3""",quad hd+ / touchscreen 3200x1800,intel core m 6y54 1.1ghz,8gb,256gb ssd,intel hd graphics 515,windows,10,1.16kg,"1699,00",hp.jpeg
dell,vostro 3559,notebook,"15.6""",1366x768,intel core i5 6200u 2.3ghz,4gb,500gb hdd,amd radeon r5 m315,windows,7,2.24kg,"769,15",dell.jpeg
lenovo,v110-15isk (i3-6006u/4gb/128gb/w10),notebook,"15.6""",1366x768,intel core i3 6006u 2.0ghz,4gb,128gb ssd,intel hd graphics 520,windows,10,2.1kg,"429,00",lenovo.webp
hp,spectre pro,ultrabook,"13.3""",full hd 1920x1080,intel core i7 6500u 2.5ghz,8gb,512gb ssd,intel hd graphics 520,windows,10,1.16kg,"1969,00",hp.jpeg
lenovo,yoga book,2 in 1 convertible,"10.1""",ips panel touchscreen 1920x1200,intel atom x5-z8550 1.44ghz,4gb,64gb flash storage,intel hd graphics 400,android,,0.69kg,"549,00",lenovo.webp
dell,xps 13,ultrabook,"13.3""",full hd 1920x1080,intel core i7 7560u 2.4ghz,8gb,256gb ssd,intel iris plus graphics 640,windows,10,1.23kg,"1379,00",dell.jpeg
lenovo,ideapad y900-17isk,gaming,"17.3""",ips panel full hd 1920x1080,intel core i7 6820hk 2.7ghz,16gb,256gb ssd +  1tb hybrid,nvidia geforce gtx 980m,windows,10,4.6kg,"2749,99",lenovo.webp
razer,blade stealth,ultrabook,"12.5""",touchscreen / 4k ultra hd 3840x2160,intel core i7 6500u 2.5ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.25kg,"1029,00",default.jpg
toshiba,portege x30-d-10k,ultrabook,"13.3""",full hd 1920x1080,intel core i7 7500u 2.7ghz,16gb,512gb ssd,intel hd graphics 620,windows,10,1.05kg,"2226,00",toshiba.webp
asus,rog gl752vw-t4308t,gaming,"17.3""",full hd 1920x1080,intel core i7 6700hq 2.6ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 960m,windows,10,3.52kg,"1312,49",default.jpg
vero,v131 (x5-z8350/4gb/32gb/fhd/w10),notebook,"13.3""",full hd 1920x1080,intel atom x5-z8350 1.44ghz,4gb,32gb flash storage,intel hd graphics 400,windows,10,1.35kg,"196,00",default.jpg
hp,spectre pro,notebook,"13.3""",full hd 1920x1080,intel core i5 6200u 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.16kg,"1690,00",hp.jpeg
hp,elitebook 1040,notebook,"14.0""",full hd 1920x1080,intel core i5 6200u 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows,7,1.43kg,"1513,00",hp.jpeg
dell,latitude e5570,notebook,"15.6""",1366x768,intel core i5 6200u 2.3ghz,4gb,500gb hdd,intel hd graphics 520,linux,,2.09kg,"523,63",dell.jpeg
asus,vivobook max,notebook,"15.6""",1366x768,intel core i3 7100u 2.4ghz,4gb,1tb hdd,intel hd graphics 620,windows,10,2kg,"435,00",default.jpg
lenovo,thinkpad yoga,2 in 1 convertible,"14.0""",ips panel full hd / touchscreen 1920x1080,intel core i7 6500u 2.5ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.8kg,"1669,00",lenovo.webp
lenovo,yoga book,2 in 1 convertible,"10.1""",ips panel touchscreen 1920x1200,intel atom x5-z8550 1.44ghz,4gb,64gb flash storage,intel hd graphics 400,windows,10,0.69kg,"479,00",lenovo.webp
hp,elitebook 820,ultrabook,"12.5""",1366x768,intel core i5 6300u 2.4ghz,8gb,256gb ssd,intel hd graphics 520,windows,7,1.26kg,"1895,00",hp.jpeg
lenovo,legion y520-15ikbn,gaming,"15.6""",ips panel full hd 1920x1080,intel core i5 7300hq 2.5ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,no os,,2.4kg,"989,00",lenovo.webp
hp,omen -,gaming,"17.3""",ips panel full hd 1920x1080,intel core i5 6300hq 2.3ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,10,3.35kg,"1129,00",hp.jpeg
hp,15-bs078cl (i7-7500u/8gb/2tb/w10),notebook,"15.6""",1366x768,intel core i7 7500u 2.7ghz,8gb,2tb hdd,intel hd graphics 620,windows,10,2.04kg,"629,00",hp.jpeg
lenovo,thinkpad p40,2 in 1 convertible,"14.0""",ips panel full hd / touchscreen 1920x1080,intel core i7 6600u 2.6ghz,8gb,512gb ssd,nvidia quadro m500m,windows,7,1.8kg,"2050,38",lenovo.webp
asus,l403na-ga013ts (n3350/4gb/32gb/w10),notebook,"14.0""",1366x768,intel celeron dual core n3350 1.1ghz,4gb,32gb flash storage,intel hd graphics 500,windows,10,1.5kg,"278,00",default.jpg
hp,250 g6,ultrabook,"15.6""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,intel hd graphics 620,windows,10,1.84kg,"752,00",hp.jpeg
acer,aspire e5-576g,notebook,"15.6""",full hd 1920x1080,intel core i5 7200u 2.5ghz,4gb,1tb hdd,nvidia geforce 940mx,windows,10,2.23kg,"616,00",default.jpg
lenovo,ideapad 500-15isk,notebook,"15.6""",full hd 1920x1080,intel core i7 6500u 2.5ghz,16gb,1tb hybrid,amd radeon r7 m360,windows,10,2.5kg,"1099,00",lenovo.webp
hp,zbook 17,workstation,"17.3""",ips panel full hd 1920x1080,intel core i7 6700hq 2.6ghz,8gb,256gb ssd,nvidia quadro m3000m,windows,7,3kg,"3949,40",hp.jpeg
dell,inspiron 5567,notebook,"15.6""",1366x768,intel core i5 7200u 2.5ghz,8gb,1tb hdd,amd radeon r7 m445,windows,10,2.5kg,"784,00",dell.jpeg
msi,gt72s dominator,gaming,"17.3""",full hd 1920x1080,intel core i7 6820hq 2.7ghz,16gb,256gb ssd +  1tb hdd,nvidia geforce gtx 980m,windows,10,3.78kg,"2399,00",msi.webp
hp,elitebook 850,ultrabook,"15.6""",full hd 1920x1080,intel core i7 6500u 2.5ghz,8gb,256gb ssd,intel hd graphics 520,windows,7,1.88kg,"2171,72",hp.jpeg
lenovo,thinkpad x1,2 in 1 convertible,"14.0""",ips panel touchscreen 2560x1440,intel core i7 6600u 2.6ghz,16gb,512gb ssd,intel hd graphics 520,windows,10,2.8kg,"2440,00",lenovo.webp
msi,gp62m 7rdx,gaming,"15.6""",full hd 1920x1080,intel core i7 7700hq 2.8ghz,8gb,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,10,2.4kg,"1142,80",msi.webp
hp,spectre pro,2 in 1 convertible,"13.3""",full hd / touchscreen 1920x1080,intel core i5 6300u 2.4ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.48kg,"1629,00",hp.jpeg
hp,zbook 15,workstation,"15.6""",ips panel full hd 1920x1080,intel core i7 6700hq 2.6ghz,8gb,256gb ssd,nvidia quadro m1000m,windows,7,2.59kg,"2229,00",hp.jpeg
hp,spectre pro,2 in 1 convertible,"13.3""",touchscreen 2560x1440,intel core i7 6600u 2.6ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.48kg,"1799,00",hp.jpeg
hp,zbook studio,workstation,"15.6""",full hd 1920x1080,intel core i7 6700hq 2.6ghz,8gb,256gb ssd,nvidia quadro m1000m,windows,7,2.0kg,"1899,00",hp.jpeg
hp,elitebook 820,ultrabook,"12.5""",full hd 1920x1080,intel core i7 6500u 2.50ghz,8gb,256gb ssd,intel hd graphics 520,windows,7,1.26kg,"2296,95",hp.jpeg
dell,vostro 5568,notebook,"15.6""",full hd 1920x1080,intel core i7 7500u 2.7ghz,8gb,256gb ssd,nvidia geforce 940mx,windows,10,2.18kg,"1009,90",dell.jpeg
hp,elitebook 850,notebook,"15.6""",full hd 1920x1080,intel core i5 6200u 2.3ghz,8gb,256gb ssd,intel hd graphics 520,windows,7,1.88kg,"1579,00",hp.jpeg
lenovo,thinkpad x1,2 in 1 convertible,"14.0""",ips panel touchscreen 2560x1440,intel core i7 6500u 2.5ghz,8gb,256gb ssd,intel hd graphics 520,windows,10,1.27kg,"2339,00",lenovo.webp
lenovo,v110-15isk (i3-6006u/4gb/1tb/no,notebook,"15.6""",1366x768,intel core i3 6006u 2.0ghz,4gb,1tb hdd,intel hd graphics 520,no os,,1.9kg,"339,00",lenovo.webp
hp,15-ba015wm (e2-7110/4gb/500gb/w10),notebook,"15.6""",1366x768,amd e-series 7110 1.8ghz,4gb,500gb hdd,amd radeon r2 graphics,windows,10,1.86kg,"297,00",hp.jpeg
lenovo,b51-80 (i5-6200u/8gb/1tb/radeon,notebook,"15.6""",full hd 1920x1080,intel core i5 6200u 2.3ghz,8gb,1tb hdd,amd radeon r5 m330,no os,,2.32kg,"599,00",lenovo.webp
